ID,Created,Name,Description,Playlist URL
abb653163b8d40268b26d0329bfd5798,2023-05-01T16:25:44Z,Songs that have you singing the bass line instead of the lyrics,,https://open.spotify.com/playlist/1qCgzx217oeRmgbvXJABjM
4c4a452212be457fb361d16906abdb43,2023-05-04T21:00:00Z,The all-time greatest vocal performance,,https://open.spotify.com/playlist/74PiJk1mThc5E2ywdnLt0Y
e743e38a24664309accaf6814f423cb0,2023-05-06T16:04:25Z,"Happy music, sad lyrics",,https://open.spotify.com/playlist/7LRFcpP8qbm30gO5K8Mim3
cc6ed1fcc48247049f5ac8e1c0c6fb7a,2023-05-11T19:52:21Z,The best joke you can find on Spotify,Weird! A stand up round. Submit comedy!,https://open.spotify.com/playlist/1THP0YloNsRteZaskp5g10
3ddc36d060fe46a7a51d2b07a116243b,2023-05-14T23:46:58Z,Bands that don’t get enough credit,,https://open.spotify.com/playlist/2cGMqPQ9Nf0hRXUXU6KVP0
5e274e2382524dbaab853c10e12d8c20,2023-05-19T12:36:51Z,Close Out Your Mixtape,"This song will close out your mixtape. 
In the comment let us know if this closer is on a Mixtape for your...  crush? enemy? bff? pet?",https://open.spotify.com/playlist/0vArUPa17EGS98nZ6VhyoU
1b38a205b5e342dfba34302bc28b5f8e,2023-05-23T12:31:03Z,You can’t afford the rights to play the happy birthday song at your party. What are you playing instead?,I don't want to see any knockoff birthday songs either.,https://open.spotify.com/playlist/5A76PAVIyhN5HzxuT5lgUj
e1450d4a3880475bb016391cbf754927,2023-05-26T20:02:17Z,This isn’t a diss track but if it were it would be devastating,,https://open.spotify.com/playlist/7yPV7Tmofqkm2iKOq246ne
f0d8568f2a9d4943acd4ae7313909045,2023-05-28T18:06:00Z,NSFW - a smutty song that you'd be embarrassed to find was being played to the whole office if your bluetooth headphones disconnected,"NSFW - a smutty song that you'd be embarrassed to find was being played to the whole office if your bluetooth headphones disconnected (assuming a medium-prudish workplace).

These should be songs you actually listen to, not just the dirtiest song you can find.",https://open.spotify.com/playlist/5qsVxHeQlFx1n4Poid2RAY
179bdba0b65b487eb436a50a6250ee16,2023-06-02T17:56:01Z,"The inverse of you ""probably haven't heard of them""","Submit a popular, overplayed song that you still can't get enough of",https://open.spotify.com/playlist/3IKaxKCLwTWfDR2HbFA8ts
