ID,Created,Name,Description,Playlist URL
7e3268b5dcc5414385d800c5ef583509,2023-03-27T23:08:56Z,That First Touch of Natural Vitamin D in the Spring,"Songs that give you that first sunshine vibe. 

Let’s redeem that ‘Butterfly’ win. So if you submit ‘Butterfly’ or ‘Here Comes the Sun’, you get shot into the sun.
",https://open.spotify.com/playlist/3O5If4bn3YRqRMvMRZuj4N
cd9ba8d57dfb45acada46ce914bc54c9,2023-03-31T13:56:10Z,Songs about cars,"Songs about cars, not songs by The Cars",https://open.spotify.com/playlist/6w3BEf0SkMbJDtMhnl77QW
c03a7727418a40a5a9701af277ff9b9d,2023-04-02T20:28:14Z,Hard Times Music League passes the Bechdel Test,"""The Bechdel test is a measure of the representation of women in film and other fiction. The test asks whether a work features at least two women who talk to each other about something other than a man.""

Submit a song that best represents what the musical equivalent of this test might be.",https://open.spotify.com/playlist/5WUp8XrKJ301NY0sQ4Lool
a3f7b52c48944ca690406a663f17796b,2023-04-06T16:20:35Z,Friday after Work Songs!,,https://open.spotify.com/playlist/3ZUJBFWuLNYlNXDVDsZJKo
99e3061a7e7e402492aba613e93807b2,2023-04-09T23:19:43Z,"Wait, THEY released song?",I didn't even know they made music! ,https://open.spotify.com/playlist/7kjJu9Iy8zx7zDCZSJ8jgF
90014ec1112644029a72ee023e127675,2023-04-11T00:59:39Z,"Amazing Music, Terrible Lyrics ",,https://open.spotify.com/playlist/57QU8K2BEjEGCjLJX3COcL
4f3f884f84e34caeb4e785fcfea5dd88,2023-04-16T01:31:11Z,Greatest non-original soundtrack song,"This song wasn't written for the show/movie, but it fits perfectly with the scene or soundtrack.",https://open.spotify.com/playlist/157DOo1nB9HMCU8tzce4RT
59a009e3baf4430b8615a38051a9d097,2023-04-18T23:06:05Z,Secretly Not Canadian Records,Bands that feel like they’re from Canada but aren’t,https://open.spotify.com/playlist/3sQoEkaDyUEWusDlmb8PW0
003eebadcbd24746944a05969783f904,2023-04-21T00:20:30Z,Quiet is the new loud,,https://open.spotify.com/playlist/2S0AhZDvGfBtQynxokCcfG
1d7a95585648495a93fa3ba939ca9c76,2023-04-24T20:10:00Z,"""I liked them before they got big""",,https://open.spotify.com/playlist/58wdly08pug4iU7NFHkx5Z
