ID,Created,Name,Description,Playlist URL
23ecd1585e704b07a09f1367be682f37,2023-02-26T14:21:32Z,One of your favorite songs that you have somehow not submitted yet,Bonus points if the band hasn't been submitted yet,https://open.spotify.com/playlist/1C4uZBuKm6mhWa0UVSdImU
3948dbee4c9e406ab525ab01a774abf9,2023-03-01T00:27:54Z,Submit a song from a genre you don’t often submit,And you don't even have to normally hate the genre. Just not your norm.,https://open.spotify.com/playlist/34I9vBsBpKZN3CcZvo1SzX
05292682659d4142b76b8bcb2df2803e,2023-03-02T20:23:41Z,90s/00s TV theme songs that are actually jams,,https://open.spotify.com/playlist/48p17UB3X6Z9PqUatxmxJM
1173e27950244c6abda3cf3f68377675,2023-03-05T21:41:23Z,Songs to rob a bank to,You're robbing a bank (or robbing anything really). What's the theme song? ,https://open.spotify.com/playlist/0XExjEKaT8AhsFGKWV1WQ9
3d37dadfdaf040a5aa681c2ccf47ac4c,2023-03-08T15:14:15Z,"No Red Solo Cups, No Applebee's","Country songs about heroin, not beer",https://open.spotify.com/playlist/579a5JiFVQofm4PPjxEOtx
4cc8d1f7035e4d87b8b9bed670eb7bbc,2023-03-11T19:14:28Z,Best Australian Music,,https://open.spotify.com/playlist/3tia9Q5zZfQnowJsnVVz94
c1e41ffd6be84d2186cb03651d157fa4,2023-03-14T20:30:23Z,A cover that totally changes the vibe of the original but it works,,https://open.spotify.com/playlist/6KWF5osBpOsEamp9MZWEC3
356ba5947c624f32909410ce132e67c4,2023-03-15T03:54:45Z,Sure it’s just an interlude but it’s a jam,"Interludes, interstitials, intros, and outros that are pretty dang good",https://open.spotify.com/playlist/4mri2rNQZsSw7QwOQAYjpU
f5fa1945fde64eb6a4ae233f47f6f844,2023-03-15T03:54:45Z,Songs that contain other songs ,"Not samples but a prominent riff, melody, hook, etc. that sound exactly like another song in your song.

it could be:
- a song “quoting” another song (music or even lyrics)
- a song with a riff that you realize was later stolen for another song
- songs that share chord progressions
and more

",https://open.spotify.com/playlist/4odyHVxwnQWegQHqB8Ddpk
fe29e8bd2e374f4cad6a9b1f402cfe54,2023-03-15T20:47:39Z,You _Probably_ Haven't Heard Of Them Again,"But this time with a minimum of 250,000 monthly listeners! 

i.e. a really successful band that you think we've still somehow not heard of.

Voting rules: okay if you’ve heard of the band but if you’ve heard songs by the band, give it no votes.",https://open.spotify.com/playlist/56ugXYP3JKHpQROOo3c5dT
