Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0GTK6TesV108Jj5D3MHsYb,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,1,I want to give you more points bc fuck yes wrestle wizard unfortunately the other dog theme person stole my heart ,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:0Puj4YlTm6xNzDDADXHMI9,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,2,The vibes here are amazing ,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:28jOIJzouTp7gqhtx7RbGa,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,2,You have thought so much about this I'm sorry Dave Meltzer wants to kill you,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:2EeIsfOZ3RNXUahTLJXluT,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,2,You know wrestling more than I do. I love this ,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:2zudE15ZS6jHkKLXOi2QGg,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,8,HELLO. I THINK WE SHOULD GET MARRIED,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:38kM98S2A7ZtTg3wI6nDcY,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,2,,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:4tvOVmc2jorV20Z2hFDtDg,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,0,Not enough here. I need more ,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:4wH4dJgrsxONID6KS2tDQM,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,4,Yes. ,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:5QuX843g55i2q6wNAa8mJL,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,2,As a fellow not wrestling fan I love this concept but you coulda put more of ya pussy in it,53fa87d179cb46c7b4d512e93f0efea9
spotify:track:6cxU2pWVkqoBfuBsKGma62,3ceb8b04eb6f49139ce22d7c27a71e41,2024-03-14T16:10:17Z,4,Dr Boy I have an affliction and it's incurable ,53fa87d179cb46c7b4d512e93f0efea9
