Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3VqJUdav5hRAEAvppYIVnT,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,5,,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:42CtnSJ6Ou875imsXrdj9m,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,3,"Billy Madison voice: 'FOR THE LOVE OF GOD CHERISH IIIIIT""",772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:43nP4jKb7yRoyN6onAJ684,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,5,Yes,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:4iG2gAwKXsOcijVaVXzRPW,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,4,,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:19nAFg6Mb6jXN3yxPC2sSk,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,5,That's what I'm talking about. ,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:5oQcOu1omDykbIPSdSQQNJ,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,3,,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:7IijX5DkLaf3G4qF6xDLYa,9885fc6ccffc4dd198f2ba810d533ea6,2023-11-11T02:18:34Z,5,Oh my god. Yes. So old. ,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:0jtEYb5un9HcX80KeBchGO,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,4,"Ya I really like this and also there is nothing that will make you feel so old as a musician you like entering the ""respectable anything"" era of life",772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:19nAFg6Mb6jXN3yxPC2sSk,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,4,I don't think I've ever heard this outside of the Scrubs theme but I love it and great pick,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,1,,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:2BIAt6z2CBqUtrkou82O9p,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,1,,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:3DIm2iPXGWHacY6uFpNBGk,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,3,"Though I have no idea about the specifics you wrote about, I feel this in my soul",772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:3HJSLyETMLUfw7lV8Qsosy,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,3,"I really like your reasoning on this one, feeling your perception of a song change as you age and experience more is weird",772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:3ngADr8JW3DjeVqFWwWDbs,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,4,Aww now I really miss Matt Whelan. Lovely nostalgic comment and great song choice,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:3VqJUdav5hRAEAvppYIVnT,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,3,No comment at time of voting but this being 21 years old stabbed my heart so thanks for that...,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:42CtnSJ6Ou875imsXrdj9m,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,1,Good spin on the prompt so 1 point,772aed90458d4bd4ad5e51aed0c93b1b
spotify:track:43nP4jKb7yRoyN6onAJ684,fd4c3b50daf548ffa16be6f215d5b883,2023-11-11T18:11:31Z,2,Nothing will make you melancholic for time and aging like a nice country number will,772aed90458d4bd4ad5e51aed0c93b1b
