ID,Created,Name,Description,Playlist URL
540f5a1f555146b79987b55bd8e2f5b8,2023-06-11T17:34:20Z,"Songs your dad made you listen to in the car
",Story required in the comments,https://open.spotify.com/playlist/1VaJRBH31EGeQTMzzxp1gJ
09e4dfe5e8f747a7a292592e4d99cb77,2023-06-15T01:17:24Z,Songs you love getting really pedantic about,Maybe they misinterpret and you love correcting them on it. Or they never understand to begin with and you love to explain it.,https://open.spotify.com/playlist/4uQlBXqlVh2MAq5EOoSwcW
85fed51bcf7949be8adac16f1bcd07e4,2023-06-19T02:03:30Z,Almost picks (take 2),"What’s a song you almost picked for a previous round? And are maybe kicking yourself that you didn’t…
Story required",https://open.spotify.com/playlist/02iQXDI4JTVyC9BhhwhcRP
17891cd332684662ab20c1369ae0796c,2023-06-22T00:17:08Z,Songs that have a story behind them,"This song is tied to a memory/person/event that's important to you (and the song played an important part.)

Tell the story. If you need more room use this doc: https://tinyurl.com/yda53jud
",https://open.spotify.com/playlist/6kkYdmzo0Ekl8SWf24jNXj
e64abbb177934df6a1d13a8380744623,2023-06-26T01:50:08Z,A jam under 2 minutes,A catchy song that is under 2 minutes long,https://open.spotify.com/playlist/3ysgVBPsQf3Lnjr0Mmch0K
5fbeb562e1e94ea582049b44522a22dc,2023-06-26T21:48:41Z,Songs by Overshadowed Siblings,,https://open.spotify.com/playlist/7sLLUx2ETfQ4PZk2cNkY0w
ef72919a1d2f4d609f5fea99b947e18e,2023-07-03T01:31:45Z,Songs you could almost get away with playing at a child’s birthday party,,https://open.spotify.com/playlist/0pjJnU33TvdBf8ZdKTMa6Z
86d4b83c3cac42498756a2358ff5e74a,2023-07-07T17:05:09Z,Song you wrote about in a Hard Times article,"Song you wrote about in a Hard Times article, or a song from an upcoming article, or a song from an article that you WILL write just as soon as soon as it gets passed….

Article link in the comments if it exists!",https://open.spotify.com/playlist/48Rx14JLQdn037pgtgRmGO
5d21640ce0f740819e559ecc09920a44,2023-07-10T13:13:02Z,Great song despite having a pun in the title,,https://open.spotify.com/playlist/78vtsyyIcGBPCfu2UPxjEd
ae3ef6cbfa104e98a5f7a022b9c696a3,2023-07-14T01:50:30Z,You probably haven’t heard of them,Artists with less than 5k monthly listeners. ,https://open.spotify.com/playlist/2qbOPLcBG3VcDyNUSXCPW6
