Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0mCeiMVvvP7HXrQL7ZhHL2,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,A good stew but not a great stew ,db721fb0addc4ad2b9061335a32594aa
spotify:track:0qaWxVVd3KrP4WY27KWpIe,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,2,A good beef stew +2,db721fb0addc4ad2b9061335a32594aa
spotify:track:0qMwDBHvt2UBgc615owxAv,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,1,Big carrots in this stew +1,db721fb0addc4ad2b9061335a32594aa
spotify:track:0RGtMGYaz9esrHsFiC8TJR,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,2,Nice guitar a hearty stew ,db721fb0addc4ad2b9061335a32594aa
spotify:track:0SDjmcEJPltb2Rur7usWN2,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,This stew isn’t a stew I’d want seconds of ,db721fb0addc4ad2b9061335a32594aa
spotify:track:12aorxTsA3NlwJd7wDiOi3,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,A goofy stew,db721fb0addc4ad2b9061335a32594aa
spotify:track:1h0R5cstHZ070tevUAfEo7,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,4,Hell yeah this is a stew I can I get into +4,db721fb0addc4ad2b9061335a32594aa
spotify:track:1lATXTBJDHwawvT1UfxWu3,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,Tool stew? No not for me ,db721fb0addc4ad2b9061335a32594aa
spotify:track:2DImlXPkRkrA2zpGW5su0B,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,Stew too loud ,db721fb0addc4ad2b9061335a32594aa
spotify:track:3WDp9ac7rKdLJny6Crza0T,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,2,Mystery stew +2,db721fb0addc4ad2b9061335a32594aa
spotify:track:07OGGwchpRKlh7SVt6gxBl,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,Not a stew for me ,db721fb0addc4ad2b9061335a32594aa
spotify:track:4VpH45fTwmwECcd8QH0amq,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,2,My kind of stew +3,db721fb0addc4ad2b9061335a32594aa
spotify:track:5AtfMGn09mkbTMBI4YUvuE,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,More of an apple pie and less of a stew sorry ,db721fb0addc4ad2b9061335a32594aa
spotify:track:5uZLsGY9fknBd5Rxr7AIss,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,3,Good stew +3,db721fb0addc4ad2b9061335a32594aa
spotify:track:5ziwXuJhGGI50gCzrZV1ig,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,Stew too thick ,db721fb0addc4ad2b9061335a32594aa
spotify:track:6LgJvl0Xdtc73RJ1mmpotq,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,Stew too thin ,db721fb0addc4ad2b9061335a32594aa
spotify:track:6YPzZYl6b1xnQxlKRFjl2q,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,4,Hell yeah +4,db721fb0addc4ad2b9061335a32594aa
spotify:track:7JU1ukwFqES4bDI9oYn6rV,6e74e3bbc8e643a0b2ed5c998b8bb5ce,2023-08-30T01:57:36Z,0,A sad stew ,db721fb0addc4ad2b9061335a32594aa
spotify:track:7JU1ukwFqES4bDI9oYn6rV,942db94f20df4bbf8653da742bb672bd,2023-08-30T12:41:57Z,2,"Who in their right mind decided Hozier needed black metal guitars? It's definitely a stew, but it's like one that someone threw a bunch of skittles into for some weird ass reason. ",db721fb0addc4ad2b9061335a32594aa
spotify:track:5uZLsGY9fknBd5Rxr7AIss,942db94f20df4bbf8653da742bb672bd,2023-08-30T12:41:57Z,1,"Definitely hits those two categories of stewness, but I'm missing the warmness and depth of flavor that stews have. Feels more like a meatball sub to me.",db721fb0addc4ad2b9061335a32594aa
spotify:track:5ziwXuJhGGI50gCzrZV1ig,942db94f20df4bbf8653da742bb672bd,2023-08-30T12:41:57Z,5,This is definite stew territory.,db721fb0addc4ad2b9061335a32594aa
spotify:track:6LgJvl0Xdtc73RJ1mmpotq,942db94f20df4bbf8653da742bb672bd,2023-08-30T12:41:57Z,0,"Depth of flavor is there, but not getting the warming vibes from this. More of a spicey fried rice.",db721fb0addc4ad2b9061335a32594aa
